Topic,Count,Name,Representation,Representative_Docs
51,16,51_banjir_juta rumah_program juta rumah_program juta,"['banjir', 'juta rumah', 'program juta rumah', 'program juta', 'rumah', 'juta rumah prabowo', 'rumah prabowo', 'juta', 'relokasi', 'huni']","['huni rawan banjir program juta rumah prabowo solusi', 'program juta rumah prabowo solusi huni area banjir', 'program juta rumah prabowo solusi relokasi huni bahaya banjir']"
52,16,52_prabowo tuh fokus_tuh fokus_adil nyata_adil nyata kerja,"['prabowo tuh fokus', 'tuh fokus', 'adil nyata', 'adil nyata kerja', 'tuh fokus bikin', 'prabowo tuh', 'fokus bikin adil', 'fokus bikin', 'nyata kerja bagus', 'bikin adil nyata']","['misi menteri prabowo tuh fokus bikin adil nyata kerja bagus kabinet', 'tugas kabinet prabowo tuh fokus bikin adil nyata kerja bagus kabinet', 'tugas kabinet prabowo tuh fokus bikin adil nyata kerja bagus kabinet']"
53,15,53_thr_bonus_prabowo thr_yah,"['thr', 'bonus', 'prabowo thr', 'yah', 'thr bonus', 'pns', 'ngak', 'karyawan', 'yah ngak', 'hubung kerja rit']","['prabowo into tulis atas aplikatornya bonus driver yah hitung sikh tinggal tdknya sikh bluebird driver thr dasar kerja thr karyawan kantor', 'prabowo thr hubung kerja rit sampe kilometer upah dapat bersih main armada thr ump atur', 'prabowo thr hubung kerja rit sampe kilometer upah dapat bersih main armada thr ump atur']"
54,15,54_hasil survei_sindir_kontradiksi_kaburajadulu,"['hasil survei', 'sindir', 'kontradiksi', 'kaburajadulu', 'bego lugu', 'paham pura bego', 'medsos takabur hasil', 'bego lugu sindir', 'pura bego', 'takabur hasil survei']","['istana paham pura bego lugu sindir kaburajadulu brain drain medsos takabur hasil survei litbang kompas tingkat puas publik kerja prabowo gibran kontradiksi keluh masyarakat hasil survei', 'istana paham pura bego lugu sindir kaburajadulu brain drain medsos takabur hasil survei litbang kompas tingkat puas publik kerja prabowo gibran kontradiksi keluh masyarakat hasil survei', 'istana paham pura bego lugu sindir kaburajadulu brain drain medsos takabur hasil survei litbang kompas tingkat puas publik kerja prabowo gibran kontradiksi keluh masyarakat hasil survei']"
55,15,55_indikator politik indonesia_politik indonesia_indikator politik_indikator,"['indikator politik indonesia', 'politik indonesia', 'indikator politik', 'indikator', 'kerja presiden', 'kerja presiden prabowo', 'politik', 'puas', 'survei indikator politik', 'puas kerja presiden']","['survei indikator politik indonesia responden puas kerja presiden prabowo subianto puas', 'indikator politik indonesia survei kait puas publik kerja presiden prabowo subianto hasil responden puas kerja presiden prabowo', 'indikator politik indonesia survei kait puas publik kerja presiden prabowo subianto hasil responden puas kerja presiden prabowo']"
56,15,56_jajar kepala_buat rakyat_buat rakyat jajar_kait hasil,"['jajar kepala', 'buat rakyat', 'buat rakyat jajar', 'kait hasil', 'rakyat jajar', 'rakyat jajar kepala', 'hasil kerja perintah', 'jajar', 'presiden prabowo subianto', 'bicara kait hasil']","['presiden prabowo subianto bicara kait hasil kerja perintah buat rakyat jajar kepala', 'presiden prabowo subianto bicara kait hasil kerja perintah buat rakyat jajar kepala', 'presiden prabowo subianto bicara kait hasil kerja perintah buat rakyat jajar kepala']"
57,15,57_kinerjaprabowoterbukti_banget_kinerjaprabowoterbukti kerja prabowo_kinerjaprabowoterbukti kerja,"['kinerjaprabowoterbukti', 'banget', 'kinerjaprabowoterbukti kerja prabowo', 'kinerjaprabowoterbukti kerja', 'banget kinerjaprabowoterbukti', 'kerja prabowo', 'banget kinerjaprabowoterbukti kerja', 'bikin', 'kayak', 'puas kinerjaprabowoterbukti']","['publik ngedukung kerja prabowo emang totalitas banget kinerjaprabowoterbukti', 'prabowo paham banget butuh rakyat bukti kerja kayak gin bikin bangga kinerjaprabowoterbukti', 'kerja prabowo bikin hati adem kayak lagu soothing banget kinerjaprabowoterbukti']"
58,15,58_teamwork_adil makmur_makmur nyata kerja_nyata kerja bagus,"['teamwork', 'adil makmur', 'makmur nyata kerja', 'nyata kerja bagus', 'makmur nyata', 'adil makmur nyata', 'makmur', 'nyata kerja', 'teamwork adil makmur', 'teamwork adil']","['menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet', 'menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet', 'menteri menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet']"
59,15,59_lari_lari maraton_maraton_menteri kabinet prabowo,"['lari', 'lari maraton', 'maraton', 'menteri kabinet prabowo', 'menteri kabinet', 'kabinet menteri kabinet', 'kabinet', 'bagus kabinet menteri', 'kabinet menteri', 'prabowo lari']","['semangat kenal lelah menteri kabinet prabowo gerak maju lari maraton henti lari kerja bagus kabinet', 'menteri kabinet prabowo gerak maju lari maraton jaga ritme jalan kerja bagus kabinet', 'menteri kabinet prabowo lari maraton mudah lelah juang sejahtera rakyat kerja bagus kabinet']"
60,14,60_koreksi kerja perintah_koreksi kerja_kerja perintah_koreksi,"['koreksi kerja perintah', 'koreksi kerja', 'kerja perintah', 'koreksi', 'nilai kerja', 'perintah', 'gagal bentuk sopan', 'gagal bentuk', 'esensial jabat', 'bilang kembali']","['prabowo bilang kembali uang curi ampun', 'prabowo koreksi kerja perintah kolam', 'prabowo gagal bentuk sopan kerja bagi kali']"
61,14,61_menteri_profesional_jaman_sisi,"['menteri', 'profesional', 'jaman', 'sisi', 'kerja menteri', 'jokowi jaman', 'menteri ganti menteri', 'investor kait', 'menteri ganti', 'jaman jokowi jaman']","['prabowo evaluasi kerja kualitas bumn memyeluruh pasti manteri rangkap jabat masyarakat butuh menteri profesional kerja menteri hasil baik bumn acu investor asing bgm lanjut bumn karya', 'prabowo menko infra kerja kemenpu anggar potong sisa infra bangun era menko agus manfaat rakyat bingung jwbnya haha nilai kerja dasar survey era jokowi karyawan kntr nilai survey', 'ukt udah mahal seleksi ptn batas maksimal udahlah stop ketidakkoheranan kerja kabinet prabowo sisi makan siang gratis tuju tunjang didik sisi orang tua kena phk sisi didik mahal']"
62,14,62_kerja buruk prabowo_buruk prabowo_kerja menteri_kerja buruk,"['kerja buruk prabowo', 'buruk prabowo', 'kerja menteri', 'kerja buruk', 'menteri', 'buruk', 'ketua', 'you harap', 'aparatur suwun', 'aparatur suwun referensi']","['prabowo tolong selidik kerja mantan menteri kog sertifikat laut', 'prabowo lupa pantau awas kerja menteri putus tahu jalan imbang negeri', 'apa kekawatiran prabowo gantung ketua partai dukung musuh dalam selimut kerja presiden lembaga negara bidang hukum uang']"
63,14,63_maydaybermartabat_may day_day_may,"['maydaybermartabat', 'may day', 'day', 'may', 'damai', 'may day damai', 'maydaybermartabat may', 'maydaybermartabat may day', 'day damai', 'aksi']","['may day damai aksi turun jalan angkat wibawa kerja indonesia maydaybermartabat', 'aksi may day damai jitu anak muda bawa ubah ngelakuin aksi nekat maydaybermartabat', 'may day damai solusi aksi positif maydaybermartabat']"
64,14,64_adadikompas_riset adadikompas_puas kerja perintah_perintah prabowo gibran,"['adadikompas', 'riset adadikompas', 'puas kerja perintah', 'perintah prabowo gibran', 'puas kerja', 'riset', 'puas', 'prabowo gibran', 'kerja perintah prabowo', 'perintah prabowo']","['lima responden survei litbang kompas puas kerja perintah prabowo gibran riset adadikompas', 'pilih pdi pks puas kerja perintah prabowo gibran cenderung banding pilih parpol riset adadikompas', 'pilih pdi pks puas kerja perintah prabowo gibran cenderung banding pilih parpol riset adadikompas']"
65,13,65_prabowo bukti_bukti_dasar survey rakyat_bukti dasar survey,"['prabowo bukti', 'bukti', 'dasar survey rakyat', 'bukti dasar survey', 'prabowo bukti dasar', 'bukti dasar', 'kerja prabowo bukti', 'dasar survey', 'survey rakyat puas', 'survey rakyat']","['dasar survey rakyat puas kerja prabowo bukti', 'dasar survey rakyat puas kerja prabowo bukti', 'dasar survey rakyat puas kerja prabowo bukti']"
66,13,66_omon_prabowo bacot_sadis_omon omon,"['omon', 'prabowo bacot', 'sadis', 'omon omon', 'orang', 'anis', 'bacot', 'solusi', 'menang', 'tolol']","['koplaknomics bos prabowo data darimana omon omon presiden salah bohong', 'prabowo bacot rbu cobain gubernur menang menang omong omon', 'prabowo duh puas puas lihat wajah tolol anak haram konstitusi plongak plongok']"
67,13,67_komitmenpemerintahuntukcasn_cepat_casn_cpns pppk,"['komitmenpemerintahuntukcasn', 'cepat', 'casn', 'cpns pppk', 'cpns', 'pppk', 'prabowo komitmenpemerintahuntukcasn', 'cepat angkat casn', 'cepat angkat', 'cpns pppk cepat']","['kerja prabowo cepat angkat casn bukti reformasi birokrasi tanggap zaman komitmenpemerintahuntukcasn', 'gercep prabowo cepat angkat casn bukti kerja layak acung jempol komitmenpemerintahuntukcasn', 'ending nanti cpns pppk cepat bukti nyata kerja presiden prabowo komitmenpemerintahuntukcasn']"
68,13,68_ijazah_langgar_langgar ham_palsu,"['ijazah', 'langgar', 'langgar ham', 'palsu', 'ijazah jokowi', 'ham', 'gugat', 'ijazah palsu', 'jokowi', 'ubah']","['revisi catat sejarah ubah fakta prabowo langgar ham', 'prabowo salut jokowi berani lapor aktivis salut moga solo hadir sidang gugat', 'nuduh prabowo culik langgar ham balik dukung pilih asli ijazah jokowi ubah tuduh ijazah jokowi palsu ubah']"
69,13,69_sukses musdesus bentuk_sukses musdesus_sukses_prabowo sukses musdesus,"['sukses musdesus bentuk', 'sukses musdesus', 'sukses', 'prabowo sukses musdesus', 'tppbersamamenteridesa prabowo sukses', 'putih tppbersamamenteridesa prabowo', 'tppbersamamenteridesa prabowo', 'bentuk koperasi merah', 'putih tppbersamamenteridesa', 'merah putih tppbersamamenteridesa']","['sukses musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'sukses musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'sukses musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo']"
70,13,70_wowo_survei_survey_bayar,"['wowo', 'survei', 'survey', 'bayar', 'puas kerja wowo', 'rating', 'gantung bayar', 'ray', 'muslim', 'kalo']","['prabowo cendikiawan muslim hasil temu bukti ilmiah uji diskusi kalo cendekiawan muslim indonesia kek cundang duduk manis tonton tunggu manfaat situasi untung', 'prabowo skill survei kompas bohong banget muas wowo ngapa ngapain rakyat puas kerja wowo kecuali kaum dukung bilang wowo bagus bukti survei bayar', 'ray rangkut puas publik prabowo pakai jokowi bener ray kalo hasil survei puas kerja wowo capai menteri wamen kecuali kalo wowo prabowo emang butuh tukang cebok kabinet']"
71,12,71_puas kerja prabowo_prabowo survei_indikator gen puas_survei indikator,"['puas kerja prabowo', 'prabowo survei', 'indikator gen puas', 'survei indikator', 'kerja prabowo survei', 'indikator', 'gen puas', 'gen puas kerja', 'puas kerja', 'indikator gen']","['survei indikator gen puas kerja prabowo', 'survei indikator gen puas kerja prabowo', 'survei indikator gen puas kerja prabowo']"
72,12,72_fufufafa_prabowo fufufafa_fufu_kerja fufufafa,"['fufufafa', 'prabowo fufufafa', 'fufu', 'kerja fufufafa', 'prabowo kerja fufufafa', 'fafa', 'fufufafa prabowo', 'ragu', 'prabowo kerja', 'bpk fufufafa']","['ralat min kerja presiden prabowo kerja fufufafa sisa kerja mulyono', 'prabowo fufufafa fufufafa mkmkmkmkmk', 'prabowo puas branding kerja bpk fufufafa periode baca bhw becus memgurus negara wakil fufufafa']"
73,12,73_percaya publik kerja_jagung_percaya publik_tingkat percaya publik,"['percaya publik kerja', 'jagung', 'percaya publik', 'tingkat percaya publik', 'tingkat percaya', 'percaya', 'kerja jagung', 'kerja rekor', 'kerja nyata apresiasi', 'nyata apresiasi']","['salut jagung tingkat percaya publik kerja nyata era presiden prabowo', 'kerja rekor puas prabowo tunjuk kerja nyata apresiasi rakyat', 'kerja rekor puas prabowo tunjuk kerja nyata apresiasi rakyat']"
74,12,74_enam pimpin_indonesia social insight_social insight_idsight,"['enam pimpin', 'indonesia social insight', 'social insight', 'idsight', 'indonesia social', 'social', 'insight', 'prabowo nilai positif', 'enam', 'dukung rakyat presiden']","['dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight', 'dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight', 'dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight']"
75,12,75_pemerintahtegashukum_hukum_pemerintahtegashukum kerja_pemerintahtegashukum kerja prabowo,"['pemerintahtegashukum', 'hukum', 'pemerintahtegashukum kerja', 'pemerintahtegashukum kerja prabowo', 'pertegashukumindonesia', 'adil', 'adil pemerintahtegashukum', 'adil pemerintahtegashukum kerja', 'pemerintahtegashukum prabowo', 'tega hukum']","['kerja prabowo tega hukum bikin rakyat percaya pemerintahtegashukum', 'kerja prabowo tega hukum teladan adil pemerintahtegashukum', 'prabowo bawa tega hukum adil kerja perintah prabowo bikin hukum tegak adil pemerintahtegashukum']"
76,12,76_presiden prabowo subianto_subianto_prabowo subianto_dasco,"['presiden prabowo subianto', 'subianto', 'prabowo subianto', 'dasco', 'ketua', 'sufmi dasco ahmad', 'dasco ahmad', 'ketua hari', 'gerindra', 'sufmi']","['ketua hari partai gerindra sufmi dasco ahmad nilai puji presiden joko widodo jokowi kerja perintah presiden prabowo subianto harap masyarakat jokowi prabowosubianto gerindra', 'amat bijak publik anzori tawakal puji kerja presiden prabowo subianto turut prabowo konsisten pidato negara perdana oktober', 'amat bijak publik anzori tawakal puji kerja presiden prabowo subianto turut prabowo konsisten pidato negara perdana oktober']"
77,12,77_indikator mayoritas_survei indikator mayoritas_indikator mayoritas masyarakat_survei indikator,"['indikator mayoritas', 'survei indikator mayoritas', 'indikator mayoritas masyarakat', 'survei indikator', 'mayoritas', 'prabowo survei indikator', 'prabowo survei', 'mayoritas masyarakat puas', 'puas kerja presiden', 'presiden prabowo survei']","['survei indikator mayoritas masyarakat puas kerja presiden prabowo', 'survei indikator mayoritas masyarakat puas kerja presiden prabowo', 'survei indikator mayoritas masyarakat puas kerja presiden prabowo']"
78,12,78_gaji_pensiun_efisiensi_laba,"['gaji', 'pensiun', 'efisiensi', 'laba', 'formal', 'efisiensi prabowo', 'rugi', 'bayar', 'karyawan', 'pln']","['prabowo selamat malam laba bumn salah hasil dapat negara usul pensiun bumn kerja bagus pensiun thr pensiun asn pns bbrp kriteria nilai dmk terima kasih', 'efisiensi prabowo nurunkan gaji hak karyawan program pangkas contoh program langsung pengaruh kerja rri hilang kayak upaya monster efisiensi', 'efisiensi prabowo nurunkan gaji hak karyawan program pangkas contoh program langsung pengaruh kerja rri hilang kayak upaya monster efisiensi']"
79,11,79_kinerjaprabowoterbukti_kinerjaprabowoterbukti kerja_nyata kinerjaprabowoterbukti_kinerjaprabowoterbukti kerja prabowo,"['kinerjaprabowoterbukti', 'kinerjaprabowoterbukti kerja', 'nyata kinerjaprabowoterbukti', 'kinerjaprabowoterbukti kerja prabowo', 'hasil nyata kinerjaprabowoterbukti', 'nyata kinerjaprabowoterbukti kerja', 'nyata', 'hasil nyata', 'kinerjaprabowoterbukti bukti', 'kerja prabowo']","['kerja prabowo uji angguk tuju puas kinerjaprabowoterbukti', 'fakta kerja prabowo bawa hasil nyata kinerjaprabowoterbukti', 'kerja prabowo main main hasil nyata kinerjaprabowoterbukti']"
80,11,80_gibran rakabuming_rakabuming_subianto gibran rakabuming_prabowo subianto gibran,"['gibran rakabuming', 'rakabuming', 'subianto gibran rakabuming', 'prabowo subianto gibran', 'subianto gibran', 'gibran rakabuming raka', 'rakabuming raka', 'raka', 'mahasiswa demo dprd', 'news mahasiswa demo']","['kerja perintah prabowo subianto gibran rakabuming raka', 'kerja perintah prabowo subianto gibran rakabuming raka', 'kerja perintah prabowo subianto gibran rakabuming raka']"
81,11,81_pangkas_kerja jelek_polri_jelek pangkas,"['pangkas', 'kerja jelek', 'polri', 'jelek pangkas', 'kerja jelek pangkas', 'puasa kerja', 'puasa kerja prabowo', 'anggar', 'kerja prabowo tinggi', 'berantas judol']","['prabowo maaf efisiensi anggar pilih kasih polri pangkas kerja jelek anggar', 'puasa kerja prabowo tinggi komisi iii gencar berantas judol', 'puasa kerja prabowo tinggi anggota komisi iii dpr kritisi berantas judol']"
82,11,82_kembar_matahari_matahari kembar_mata,"['kembar', 'matahari', 'matahari kembar', 'mata', 'kembar ndasmu mata', 'kembar ndasmu', 'mata kembar ndasmu', 'mata kembar', 'ndasmu mata', 'prabowo mata kembar']","['matahari kembar prabowo cocok terang bantu matahari', 'prabowo mata kembar ndasmu mata jokowi', 'prabowo mata kembar ndasmu mata jokowi']"
83,10,83_presiden prabowo tri_tri kerja_mega_bikin gaduh,"['presiden prabowo tri', 'tri kerja', 'mega', 'bikin gaduh', 'prabowo tri', 'jabar', 'tri', 'anak buah', 'gaduh', 'buah']","['terima kasih nilai objektif kerja presiden prabowo langsung lejit presiden gagal kuat mata uang rupiah', 'menteri ngatur tata niaga gula ngeluh prabowo ganti tri kerja lihat jejak gitalnya', 'mega intervensi usa buka hubung diplomasi israel mana kerja mega condong rrt prabowo']"
